Banner_1/name:Banner, file:/data/deeplearning/dataset/mapillary/training/labels/--vWKSR3Rh8quTfK4AuKOQ.png, x,y:[2771,1844],color:[(255, 255, 128)]
Banner_10/name:Banner, file:/data/deeplearning/dataset/mapillary/training/labels/--vWKSR3Rh8quTfK4AuKOQ.png, x,y:[2772,1846],color:[(255, 255, 128)]
Banner_2/name:Banner, file:/data/deeplearning/dataset/mapillary/training/labels/--vWKSR3Rh8quTfK4AuKOQ.png, x,y:[2771,1845],color:[(255, 255, 128)]
Banner_3/name:Banner, file:/data/deeplearning/dataset/mapillary/training/labels/--vWKSR3Rh8quTfK4AuKOQ.png, x,y:[2771,1846],color:[(255, 255, 128)]
Banner_4/name:Banner, file:/data/deeplearning/dataset/mapillary/training/labels/--vWKSR3Rh8quTfK4AuKOQ.png, x,y:[2771,1847],color:[(255, 255, 128)]
Banner_5/name:Banner, file:/data/deeplearning/dataset/mapillary/training/labels/--vWKSR3Rh8quTfK4AuKOQ.png, x,y:[2771,1848],color:[(255, 255, 128)]
Banner_6/name:Banner, file:/data/deeplearning/dataset/mapillary/training/labels/--vWKSR3Rh8quTfK4AuKOQ.png, x,y:[2771,1849],color:[(255, 255, 128)]
Banner_7/name:Banner, file:/data/deeplearning/dataset/mapillary/training/labels/--vWKSR3Rh8quTfK4AuKOQ.png, x,y:[2771,1850],color:[(255, 255, 128)]
Banner_8/name:Banner, file:/data/deeplearning/dataset/mapillary/training/labels/--vWKSR3Rh8quTfK4AuKOQ.png, x,y:[2772,1844],color:[(255, 255, 128)]
Banner_9/name:Banner, file:/data/deeplearning/dataset/mapillary/training/labels/--vWKSR3Rh8quTfK4AuKOQ.png, x,y:[2772,1845],color:[(255, 255, 128)]
Barrier_1/name:Barrier, file:/data/deeplearning/dataset/mapillary/training/labels/--SWG8TJo7vrbZ_x5YLj6A.png, x,y:[1078,1735],color:[(102, 102, 156)]
Barrier_10/name:Barrier, file:/data/deeplearning/dataset/mapillary/training/labels/--SWG8TJo7vrbZ_x5YLj6A.png, x,y:[1079,1733],color:[(102, 102, 156)]
Barrier_2/name:Barrier, file:/data/deeplearning/dataset/mapillary/training/labels/--SWG8TJo7vrbZ_x5YLj6A.png, x,y:[1078,1736],color:[(102, 102, 156)]
Barrier_3/name:Barrier, file:/data/deeplearning/dataset/mapillary/training/labels/--SWG8TJo7vrbZ_x5YLj6A.png, x,y:[1078,1737],color:[(102, 102, 156)]
Barrier_4/name:Barrier, file:/data/deeplearning/dataset/mapillary/training/labels/--SWG8TJo7vrbZ_x5YLj6A.png, x,y:[1078,1738],color:[(102, 102, 156)]
Barrier_5/name:Barrier, file:/data/deeplearning/dataset/mapillary/training/labels/--SWG8TJo7vrbZ_x5YLj6A.png, x,y:[1079,1728],color:[(102, 102, 156)]
Barrier_6/name:Barrier, file:/data/deeplearning/dataset/mapillary/training/labels/--SWG8TJo7vrbZ_x5YLj6A.png, x,y:[1079,1729],color:[(102, 102, 156)]
Barrier_7/name:Barrier, file:/data/deeplearning/dataset/mapillary/training/labels/--SWG8TJo7vrbZ_x5YLj6A.png, x,y:[1079,1730],color:[(102, 102, 156)]
Barrier_8/name:Barrier, file:/data/deeplearning/dataset/mapillary/training/labels/--SWG8TJo7vrbZ_x5YLj6A.png, x,y:[1079,1731],color:[(102, 102, 156)]
Barrier_9/name:Barrier, file:/data/deeplearning/dataset/mapillary/training/labels/--SWG8TJo7vrbZ_x5YLj6A.png, x,y:[1079,1732],color:[(102, 102, 156)]
Bench_1/name:Bench, file:/data/deeplearning/dataset/mapillary/training/labels/-0GQmYRienNVqEKiQ0Mkyw.png, x,y:[344,1463],color:[(250, 0, 30)]
Bench_10/name:Bench, file:/data/deeplearning/dataset/mapillary/training/labels/-0GQmYRienNVqEKiQ0Mkyw.png, x,y:[347,1467],color:[(250, 0, 30)]
Bench_2/name:Bench, file:/data/deeplearning/dataset/mapillary/training/labels/-0GQmYRienNVqEKiQ0Mkyw.png, x,y:[345,1464],color:[(250, 0, 30)]
Bench_3/name:Bench, file:/data/deeplearning/dataset/mapillary/training/labels/-0GQmYRienNVqEKiQ0Mkyw.png, x,y:[345,1465],color:[(250, 0, 30)]
Bench_4/name:Bench, file:/data/deeplearning/dataset/mapillary/training/labels/-0GQmYRienNVqEKiQ0Mkyw.png, x,y:[346,1464],color:[(250, 0, 30)]
Bench_5/name:Bench, file:/data/deeplearning/dataset/mapillary/training/labels/-0GQmYRienNVqEKiQ0Mkyw.png, x,y:[346,1465],color:[(250, 0, 30)]
Bench_6/name:Bench, file:/data/deeplearning/dataset/mapillary/training/labels/-0GQmYRienNVqEKiQ0Mkyw.png, x,y:[346,1466],color:[(250, 0, 30)]
Bench_7/name:Bench, file:/data/deeplearning/dataset/mapillary/training/labels/-0GQmYRienNVqEKiQ0Mkyw.png, x,y:[347,1464],color:[(250, 0, 30)]
Bench_8/name:Bench, file:/data/deeplearning/dataset/mapillary/training/labels/-0GQmYRienNVqEKiQ0Mkyw.png, x,y:[347,1465],color:[(250, 0, 30)]
Bench_9/name:Bench, file:/data/deeplearning/dataset/mapillary/training/labels/-0GQmYRienNVqEKiQ0Mkyw.png, x,y:[347,1466],color:[(250, 0, 30)]
Bicycle_1/name:Bicycle, file:/data/deeplearning/dataset/mapillary/training/labels/--WOpVBuHlCygAUADkttpg.png, x,y:[86,1491],color:[(119, 11, 32)]
Bicycle_10/name:Bicycle, file:/data/deeplearning/dataset/mapillary/training/labels/--WOpVBuHlCygAUADkttpg.png, x,y:[86,1500],color:[(119, 11, 32)]
Bicycle_2/name:Bicycle, file:/data/deeplearning/dataset/mapillary/training/labels/--WOpVBuHlCygAUADkttpg.png, x,y:[86,1492],color:[(119, 11, 32)]
Bicycle_3/name:Bicycle, file:/data/deeplearning/dataset/mapillary/training/labels/--WOpVBuHlCygAUADkttpg.png, x,y:[86,1493],color:[(119, 11, 32)]
Bicycle_4/name:Bicycle, file:/data/deeplearning/dataset/mapillary/training/labels/--WOpVBuHlCygAUADkttpg.png, x,y:[86,1494],color:[(119, 11, 32)]
Bicycle_5/name:Bicycle, file:/data/deeplearning/dataset/mapillary/training/labels/--WOpVBuHlCygAUADkttpg.png, x,y:[86,1495],color:[(119, 11, 32)]
Bicycle_6/name:Bicycle, file:/data/deeplearning/dataset/mapillary/training/labels/--WOpVBuHlCygAUADkttpg.png, x,y:[86,1496],color:[(119, 11, 32)]
Bicycle_7/name:Bicycle, file:/data/deeplearning/dataset/mapillary/training/labels/--WOpVBuHlCygAUADkttpg.png, x,y:[86,1497],color:[(119, 11, 32)]
Bicycle_8/name:Bicycle, file:/data/deeplearning/dataset/mapillary/training/labels/--WOpVBuHlCygAUADkttpg.png, x,y:[86,1498],color:[(119, 11, 32)]
Bicycle_9/name:Bicycle, file:/data/deeplearning/dataset/mapillary/training/labels/--WOpVBuHlCygAUADkttpg.png, x,y:[86,1499],color:[(119, 11, 32)]
Bicyclist_1/name:Bicyclist, file:/data/deeplearning/dataset/mapillary/training/labels/--jRsD9anHdGxv4ZOCQktA.png, x,y:[777,1419],color:[(255, 0, 0)]
Bicyclist_10/name:Bicyclist, file:/data/deeplearning/dataset/mapillary/training/labels/--jRsD9anHdGxv4ZOCQktA.png, x,y:[778,1415],color:[(255, 0, 0)]
Bicyclist_2/name:Bicyclist, file:/data/deeplearning/dataset/mapillary/training/labels/--jRsD9anHdGxv4ZOCQktA.png, x,y:[777,1420],color:[(255, 0, 0)]
Bicyclist_3/name:Bicyclist, file:/data/deeplearning/dataset/mapillary/training/labels/--jRsD9anHdGxv4ZOCQktA.png, x,y:[777,1421],color:[(255, 0, 0)]
Bicyclist_4/name:Bicyclist, file:/data/deeplearning/dataset/mapillary/training/labels/--jRsD9anHdGxv4ZOCQktA.png, x,y:[777,1422],color:[(255, 0, 0)]
Bicyclist_5/name:Bicyclist, file:/data/deeplearning/dataset/mapillary/training/labels/--jRsD9anHdGxv4ZOCQktA.png, x,y:[777,1423],color:[(255, 0, 0)]
Bicyclist_6/name:Bicyclist, file:/data/deeplearning/dataset/mapillary/training/labels/--jRsD9anHdGxv4ZOCQktA.png, x,y:[777,1424],color:[(255, 0, 0)]
Bicyclist_7/name:Bicyclist, file:/data/deeplearning/dataset/mapillary/training/labels/--jRsD9anHdGxv4ZOCQktA.png, x,y:[777,1425],color:[(255, 0, 0)]
Bicyclist_8/name:Bicyclist, file:/data/deeplearning/dataset/mapillary/training/labels/--jRsD9anHdGxv4ZOCQktA.png, x,y:[777,1426],color:[(255, 0, 0)]
Bicyclist_9/name:Bicyclist, file:/data/deeplearning/dataset/mapillary/training/labels/--jRsD9anHdGxv4ZOCQktA.png, x,y:[778,1414],color:[(255, 0, 0)]
BikeLane_1/name:BikeLane, file:/data/deeplearning/dataset/mapillary/training/labels/-24xIsrQS_XSpHHgmmOB2g.png, x,y:[0,2317],color:[(128, 64, 255)]
BikeLane_10/name:BikeLane, file:/data/deeplearning/dataset/mapillary/training/labels/-24xIsrQS_XSpHHgmmOB2g.png, x,y:[0,2326],color:[(128, 64, 255)]
BikeLane_2/name:BikeLane, file:/data/deeplearning/dataset/mapillary/training/labels/-24xIsrQS_XSpHHgmmOB2g.png, x,y:[0,2318],color:[(128, 64, 255)]
BikeLane_3/name:BikeLane, file:/data/deeplearning/dataset/mapillary/training/labels/-24xIsrQS_XSpHHgmmOB2g.png, x,y:[0,2319],color:[(128, 64, 255)]
BikeLane_4/name:BikeLane, file:/data/deeplearning/dataset/mapillary/training/labels/-24xIsrQS_XSpHHgmmOB2g.png, x,y:[0,2320],color:[(128, 64, 255)]
